charset,Shift_JIS
5063,043:うにゅう:ぐんにょり
5017,044:うにゅう:泣き
5064,045:うにゅう:笑顔？
5065,046:うにゅう:ﾌｰﾝ
5066,047:うにゅう:怒り
5067,048:うにゅう:冷笑
5037,049:うにゅう:括目（ダーク）
-----------------------------------------------
XXXX,■さくら拡張２(５０～)
5054,050:ほほぉぉ。
5021,051:ふにゃぁ‥‥
5053,052:えへへへ～。（はなぢ）
5236,053:たはは。
5079,054:なにするんだよぅ。
5028,055:え、えへへ‥
5041,056:てへ（はぁと）
5059,057:ぷんすか。
5023,058:HaHaHa!
5202,059:くふふふ‥。
-----------------------------------------------
5020,060:えっと
5106,061:うーんと
5031,062:ｳﾜｧｧｧｧﾝ（ぱたぱた）
5032,063:ｳﾜｧｧｧｧﾝ２（SVG専用）
5040,064:はぁい！
5042,065:ばんざーい♪
5107,066:ふむ？
5199,067:ぶ～っ。
5069,068:さぁ、何でしょう？
5234,069:ぴし。
-----------------------------------------------
5071,070:どーしよ───！（ばたばた）
5072,071:どーしよ───！２（SVG専用）
5056,072:はぁ。（右向き）
5057,073:はぁぁ。（左向き）
5030,074:たそがれ。
5055,075:つるし
5196,076:つるし with 清酒つるし
5111,077:ゲッツ！
5214,078:エプロンめくりっ
5156,079:うわぁっ！
-----------------------------------------------
5112,080:眼鏡:素
5113,081:眼鏡:エロ面
5114,082:眼鏡:驚き
5115,083:眼鏡:困り
5116,084:眼鏡:ぐんにょり
5117,085:眼鏡:笑顔
5118,086:眼鏡:目閉じ
5119,087:眼鏡:怒り
5120,088:眼鏡:冷笑
5242,089:修正してやるっ！
-----------------------------------------------
5243,090:くるん。

-----------------------------------------------
XXXX,■うにゅう拡張２(１３０～)
5084,130:うにゅう:素(左右反転)
5085,131:うにゅう:刮目(左右反転)
5086,132:うにゅう:さいたま～(左右反転)
5016,133:うにゅう:ほんじゃー。
5100,134:うにゅう:いねむり
5101,135:うにゅう:いねむり２（SVG専用）
5033,136:うにゅう:ぱたぱた
5034,137:うにゅう:ぱたぱた２（SVG専用）
5058,138:うにゅう:不安・右向き
5062,139:うにゅう:不安・左向き
-----------------------------------------------
5087,140うにゅう:ガッテン(待ち)
5088,141:うにゅう:ガッテン１
5089,142:うにゅう:ガッテン２
5090,143:うにゅう:へぇ～(待ち)
5091,144:うにゅう:へぇ～１
5092,145:うにゅう:へぇ～２
5108,146:うにゅう:212うにゅう
5093,147:うにゅう:ﾊｧﾊｧ
5082,148:うにゅう:眼鏡
5260,149:うにゅう:丸焦げ
-----------------------------------------------
5018,150:うにゅう:なんやてーっ！
5068,151:うにゅう:なんやてぇっ！
5050,152:うにゅう:50のナマモノ
5051,153:うにゅう:ﾊｧX50
5080,154:うにゅう:mini.50のナマモノ
5081,155:うにゅう:mini.ﾊｧX50
5203,156:うにゅう:（ダミー(\s[-1]用)）
5254,157:うにゅう:腕章
5255,158:うにゅう:腕章刮目


-----------------------------------------------
XXXX,■ネタサーフェス(２００～)
5110,200:斬るっ！
5013,201:うにゅう:斬られたっ！
5024,202:撃つっ！
5015,203:うにゅう:撃たれたっ！
5215,204:うにゅうシバキ（溜め）
5216,205:うにゅうシバキ
5217,206:うにゅうシバキ２（SVG専用）
5218,207:うにゅうシバキ３（SVG専用）
5014,208:うにゅう:叩かれ
5035,209:うにゅう:ぶぎゅる。
-----------------------------------------------
5073,210:ぎゅむ～。
5076,211:うぇぇぇ。じゃま～。
5078,212:な～に言ってるかな？
5201,213:蹴りっ！
5105,214:うにゅう:蹴られっ！（うにゅう）
5083,215:うにゅう:ぷしゅ～（うにゅう）
5229,216:オカエル
5229,217:オカエル２（SVG専用）
5229,218:オカエル３（SVG専用）
5232,219:うにゅう:オカエル（うにゅう）
-----------------------------------------------
5219,220:まんき～ダンス
5220,221:まんき～ダンス２（SVG専用）
5221,222:まんき～ダンス３（SVG専用）
5222,223:まんき～ダンス４（SVG専用）
5223,224:まんき～ダンス５（SVG専用）
5224,225:うにゅう:まんき～踊り
5225,226:うにゅう:まんき～踊り２（SVG専用）
5226,227:うにゅう:まんき～踊り３（SVG専用）
5227,228:うにゅう:まんき～踊り４（SVG専用）
5228,229:うにゅう:まんき～踊り５（SVG専用）
-----------------------------------------------
5045,230:私がさくらである！
5046,231:投げ!
5047,232:投げキック!
5048,233:うにゅう:わいはうにゅうや！
5049,234:うにゅう:すすきの！
5043,235:なんでよっ。
5036,236:うにゅう:なんでやねんっ。
5256,237:しえ～！
5259,238:うにゅう:シェ～！

